SELL,$APA,38.895,03/09/22-2022
SELL,$APA,38.49,03/14/22-2022
SELL,$APA,40.5,03/28/22-2022
SELL,$APA,42.24,04/06/22-2022
SELL,$APA,42.69,04/22/22-2022
SELL,$APA,41.1,05/02/22-2022
SELL,$APA,44.1699,05/06/22-2022
SELL,$APA,41.9,05/19/22-2022
SELL,$APA,48.4,06/02/22-2022
SELL,$MRO,23.75,03/09/22-2022
SELL,$MRO,22.73,03/14/22-2022
SELL,$MRO,25.42,03/28/22-2022
SELL,$MRO,25.41,04/06/22-2022
SELL,$MRO,26.365,04/22/22-2022
SELL,$MRO,25.0794,05/02/22-2022
SELL,$MRO,27.36,05/09/22-2022
SELL,$MRO,27.55,05/19/22-2022
SELL,$MRO,31.68,06/02/22-2022
SELL,$TSLA,849.99,03/08/22-2022
SELL,$TSLA,843.802,03/11/22-2022
SELL,$TSLA,1021.7999,03/25/22-2022
SELL,$TSLA,1103.1399,03/31/22-2022
SELL,$TSLA,1079.0,04/06/22-2022
SELL,$TSLA,1012.7099,04/14/22-2022
SELL,$TSLA,1008.62,04/25/22-2022
SELL,$TSLA,888.0,05/06/22-2022
SELL,$TSLA,764.48,05/17/22-2022
SELL,$TSLA,743.3899,06/03/22-2022
SELL,$NFLX,358.86,03/08/22-2022
SELL,$NFLX,363.36,03/11/22-2022
SELL,$NFLX,379.76,03/24/22-2022
SELL,$NFLX,384.0,03/31/22-2022
SELL,$NFLX,376.4699,04/06/22-2022
SELL,$NFLX,200.2141,05/02/22-2022
SELL,$NFLX,200.71,05/05/22-2022
SELL,$NFLX,187.7,05/18/22-2022
SELL,$NFLX,184.0,05/24/22-2022
SELL,$NFLX,202.95,06/03/22-2022
